fixture_id,date,league_season,league,home_team,away_team,home_score,away_score,home_result,home_avg_goals_last_3,home_avg_goals_against_last_3,home_avg_goals_last_5,home_avg_goals_against_last_5,home_avg_goals_last_10,home_avg_goals_against_last_10,home_avg_goals_season,home_avg_goals_against_season,home_avg_scoring_last_3,home_avg_scoring_last_5,home_avg_scoring_last_10,home_avg_scoring_season,home_points_last_3,home_points_last_5,home_points_last_10,home_streak,away_avg_goals_last_3,away_avg_goals_against_last_3,away_avg_goals_last_5,away_avg_goals_against_last_5,away_avg_goals_last_10,away_avg_goals_against_last_10,away_avg_goals_season,away_avg_goals_against_season,away_avg_scoring_last_3,away_avg_scoring_last_5,away_avg_scoring_last_10,away_avg_scoring_season,away_points_last_3,away_points_last_5,away_points_last_10,away_streak,home_elo,away_elo,scoring_diff_last_3,scoring_diff_last_5,scoring_diff_last_10,scoring_diff_season,points_diff_last_3,points_diff_last_5,points_diff_last_10,streak_diff,elo_diff,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_goal_diff
720788,2021-09-18,2021,La Liga,Elche,Levante,1,1,1,0.667,0.667,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,4.0,5.0,5.0,1,1.333,1.667,1.25,1.5,1.25,1.5,1.25,1.5,-0.334,-0.25,-0.25,-0.25,2.0,3.0,3.0,0,1500.56,1490.29,0.33,0.25,0.25,0.25,2.0,2.0,2.0,1,10.27,0,0,0,0,0,0,0
720779,2021-09-18,2021,La Liga,Alaves,Osasuna,0,2,0,0.333,2.667,0.333,2.667,0.333,2.667,0.333,2.667,-2.334,-2.334,-2.334,-2.334,0.0,0.0,0.0,-3,1.333,2.0,1.0,1.5,1.0,1.5,1.0,1.5,-0.667,-0.5,-0.5,-0.5,4.0,5.0,5.0,-1,1471.13,1499.98,-1.67,-1.83,-1.83,-1.83,-4.0,-5.0,-5.0,-2,-28.85,0,0,0,0,0,0,0
720784,2021-09-19,2021,La Liga,Mallorca,Villarreal,0,0,1,0.667,0.667,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,6.0,7.0,7.0,-1,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0,1509.16,1500.57,0.0,0.0,0.0,0.0,3.0,4.0,4.0,-1,8.59,0,0,0,0,0,0,0
720785,2021-09-19,2021,La Liga,Real Sociedad,Sevilla,0,0,1,1.333,0.0,1.5,1.0,1.5,1.0,1.5,1.0,1.333,0.5,0.5,0.5,9.0,9.0,9.0,3,1.667,0.333,1.667,0.333,1.667,0.333,1.667,0.333,1.334,1.334,1.334,1.334,7.0,7.0,7.0,0,1519.43,1518.58,-0.0,-0.83,-0.83,-0.83,2.0,2.0,2.0,3,0.85,0,0,0,0,0,0,0
720782,2021-09-19,2021,La Liga,Real Betis,Espanyol,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,1,0.333,1.0,0.25,0.75,0.25,0.75,0.25,0.75,-0.667,-0.5,-0.5,-0.5,1.0,2.0,2.0,-2,1500.26,1481.11,0.67,0.5,0.5,0.5,3.0,3.0,3.0,3,19.15,0,0,0,0,0,0,0
720786,2021-09-19,2021,La Liga,Valencia,Real Madrid,1,2,0,2.667,0.667,2.25,0.5,2.25,0.5,2.25,0.5,2.0,1.75,1.75,1.75,7.0,10.0,10.0,2,3.0,1.667,3.25,1.5,3.25,1.5,3.25,1.5,1.333,1.75,1.75,1.75,7.0,10.0,10.0,2,1528.61,1528.32,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0.29,0,0,0,0,0,0,0
720781,2021-09-20,2021,La Liga,Barcelona,Granada CF,1,1,1,2.333,1.333,2.333,1.333,2.333,1.333,2.333,1.333,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1,0.667,2.333,0.5,1.75,0.5,1.75,0.5,1.75,-1.666,-1.25,-1.25,-1.25,1.0,2.0,2.0,-2,1518.87,1479.73,2.67,2.25,2.25,2.25,6.0,5.0,5.0,3,39.14,0,0,0,0,0,0,0
720794,2021-09-21,2021,La Liga,Levante,Celta Vigo,0,2,0,0.667,1.0,1.2,1.4,1.2,1.4,1.2,1.4,-0.333,-0.2,-0.2,-0.2,2.0,4.0,4.0,0,1.0,2.667,0.8,2.0,0.8,2.0,0.8,2.0,-1.667,-1.2,-1.2,-1.2,0.0,1.0,1.0,-3,1490.59,1461.95,1.33,1.0,1.0,1.0,2.0,3.0,3.0,3,28.64,0,0,0,0,0,0,0
720790,2021-09-21,2021,La Liga,Getafe,Atletico Madrid,1,2,0,0.333,2.0,0.2,1.6,0.2,1.6,0.2,1.6,-1.667,-1.4,-1.4,-1.4,0.0,0.0,0.0,-5,1.333,1.0,1.4,0.8,1.4,0.8,1.4,0.8,0.333,0.6,0.6,0.6,5.0,11.0,11.0,0,1452.81,1528.08,-2.0,-2.0,-2.0,-2.0,-5.0,-11.0,-11.0,-5,-75.27,0,0,0,0,0,0,0
720789,2021-09-21,2021,La Liga,Athletic Club,Rayo Vallecano,1,2,0,1.0,0.0,0.8,0.2,0.8,0.2,0.8,0.2,1.0,0.6,0.6,0.6,7.0,9.0,9.0,0,2.667,0.333,1.6,1.0,1.6,1.0,1.6,1.0,2.334,0.6,0.6,0.6,7.0,7.0,7.0,1,1520.5,1499.75,-1.33,0.0,0.0,0.0,0.0,2.0,2.0,-1,20.75,0,0,0,0,0,0,0
720793,2021-09-22,2021,La Liga,Espanyol,Alaves,1,0,2,1.0,1.667,0.6,1.0,0.6,1.0,0.6,1.0,-0.667,-0.4,-0.4,-0.4,1.0,3.0,3.0,0,0.0,2.0,0.25,2.5,0.25,2.5,0.25,2.5,-2.0,-2.25,-2.25,-2.25,0.0,0.0,0.0,-4,1481.66,1461.96,1.33,1.85,1.85,1.85,1.0,3.0,3.0,4,19.7,0,0,0,0,0,0,0
