fixture_id,date,home_team,home_team_id,away_team,away_team_id,home_score,away_score,league_season,home_result,home_avg_goals_last_3,home_avg_goals_against_last_3,home_avg_goals_last_5,home_avg_goals_against_last_5,home_avg_goals_last_10,home_avg_goals_against_last_10,home_avg_goals_season,home_avg_goals_against_season,home_avg_scoring_last_3,home_avg_scoring_last_5,home_avg_scoring_last_10,home_avg_scoring_season,home_points_last_3,home_points_last_5,home_points_last_10,away_avg_goals_last_3,away_avg_goals_against_last_3,away_avg_goals_last_5,away_avg_goals_against_last_5,away_avg_goals_last_10,away_avg_goals_against_last_10,away_avg_goals_season,away_avg_goals_against_season,away_avg_scoring_last_3,away_avg_scoring_last_5,away_avg_scoring_last_10,away_avg_scoring_season,away_points_last_3,away_points_last_5,away_points_last_10,scoring_diff_last_3,scoring_diff_last_5,scoring_diff_last_10,scoring_diff_season,points_diff_last_3,points_diff_last_5,points_diff_last_10
720785,2021-09-19,Real Sociedad,548,Sevilla,536,0,0,2021,1,1.333,0.0,1.5,1.0,1.5,1.0,1.5,1.0,1.333,0.5,0.5,0.5,9.0,9.0,9.0,1.667,0.333,1.667,0.333,1.667,0.333,1.667,0.333,1.334,1.334,1.334,1.334,7.0,7.0,7.0,-0.001000000000000112,-0.8340000000000001,-0.8340000000000001,-0.8340000000000001,2.0,2.0,2.0
720782,2021-09-19,Real Betis,543,Espanyol,540,2,2,2021,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.333,1.0,0.25,0.75,0.25,0.75,0.25,0.75,-0.667,-0.5,-0.5,-0.5,1.0,2.0,2.0,0.667,0.5,0.5,0.5,3.0,3.0,3.0
720786,2021-09-19,Valencia,532,Real Madrid,541,1,2,2021,0,2.667,0.667,2.25,0.5,2.25,0.5,2.25,0.5,2.0,1.75,1.75,1.75,7.0,10.0,10.0,3.0,1.667,3.25,1.5,3.25,1.5,3.25,1.5,1.333,1.75,1.75,1.75,7.0,10.0,10.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
720781,2021-09-20,Barcelona,529,Granada CF,715,1,1,2021,1,2.333,1.333,2.333,1.333,2.333,1.333,2.333,1.333,1.0,1.0,1.0,1.0,7.0,7.0,7.0,0.667,2.333,0.5,1.75,0.5,1.75,0.5,1.75,-1.666,-1.25,-1.25,-1.25,1.0,2.0,2.0,2.666,2.25,2.25,2.25,6.0,5.0,5.0
720789,2021-09-21,Athletic Club,531,Rayo Vallecano,728,1,2,2021,0,1.0,0.0,0.8,0.2,0.8,0.2,0.8,0.2,1.0,0.6,0.6,0.6,7.0,9.0,9.0,2.667,0.333,1.6,1.0,1.6,1.0,1.6,1.0,2.334,0.6,0.6,0.6,7.0,7.0,7.0,-1.334,0.0,0.0,0.0,0.0,2.0,2.0
720794,2021-09-21,Levante,539,Celta Vigo,538,0,2,2021,0,0.667,1.0,1.2,1.4,1.2,1.4,1.2,1.4,-0.333,-0.2,-0.2,-0.2,2.0,4.0,4.0,1.0,2.667,0.8,2.0,0.8,2.0,0.8,2.0,-1.667,-1.2,-1.2,-1.2,0.0,1.0,1.0,1.334,1.0,1.0,1.0,2.0,3.0,3.0
720790,2021-09-21,Getafe,546,Atletico Madrid,530,1,2,2021,0,0.333,2.0,0.2,1.6,0.2,1.6,0.2,1.6,-1.667,-1.4,-1.4,-1.4,0.0,0.0,0.0,1.333,1.0,1.4,0.8,1.4,0.8,1.4,0.8,0.333,0.6,0.6,0.6,5.0,11.0,11.0,-2.0,-2.0,-2.0,-2.0,-5.0,-11.0,-11.0
720796,2021-09-22,Real Madrid,541,Mallorca,798,6,1,2021,2,2.667,1.0,3.0,1.4,3.0,1.4,3.0,1.4,1.667,1.6,1.6,1.6,9.0,13.0,13.0,0.333,0.667,0.6,0.6,0.6,0.6,0.6,0.6,-0.334,0.0,0.0,0.0,4.0,8.0,8.0,2.001,1.6,1.6,1.6,5.0,5.0,5.0
720798,2021-09-22,Villarreal,533,Elche,797,4,1,2021,2,0.667,0.667,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,0.667,0.6,0.6,0.6,0.6,0.6,0.6,0.333,0.0,0.0,0.0,5.0,6.0,6.0,-0.333,0.0,0.0,0.0,-2.0,-2.0,-2.0
720797,2021-09-22,Sevilla,536,Valencia,532,3,1,2021,2,0.667,0.333,1.25,0.25,1.25,0.25,1.25,0.25,0.334,1.0,1.0,1.0,5.0,8.0,8.0,2.667,1.0,2.0,0.8,2.0,0.8,2.0,0.8,1.667,1.2,1.2,1.2,6.0,10.0,10.0,-1.333,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-1.0,-2.0,-2.0
720793,2021-09-22,Espanyol,540,Alaves,542,1,0,2021,2,1.0,1.667,0.6,1.0,0.6,1.0,0.6,1.0,-0.667,-0.4,-0.4,-0.4,1.0,3.0,3.0,0.0,2.0,0.25,2.5,0.25,2.5,0.25,2.5,-2.0,-2.25,-2.25,-2.25,0.0,0.0,0.0,1.333,1.85,1.85,1.85,1.0,3.0,3.0
720792,2021-09-23,Granada CF,715,Real Sociedad,548,2,3,2021,0,0.667,2.333,0.6,1.6,0.6,1.6,0.6,1.6,-1.666,-1.0,-1.0,-1.0,1.0,3.0,3.0,1.0,0.0,1.2,0.8,1.2,0.8,1.2,0.8,1.0,0.4,0.4,0.4,7.0,10.0,10.0,-2.666,-1.4,-1.4,-1.4,-6.0,-7.0,-7.0
720795,2021-09-23,Osasuna,727,Real Betis,543,1,3,2021,0,2.0,2.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0,6.0,8.0,8.0,1.333,1.333,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
720791,2021-09-23,Cadiz,724,Barcelona,529,0,0,2021,1,1.333,2.0,1.2,1.6,1.2,1.6,1.2,1.6,-0.667,-0.4,-0.4,-0.4,3.0,5.0,5.0,1.333,1.0,2.0,1.25,2.0,1.25,2.0,1.25,0.333,0.75,0.75,0.75,5.0,8.0,8.0,-1.0,-1.15,-1.15,-1.15,-2.0,-3.0,-3.0
720799,2021-09-25,Alaves,542,Atletico Madrid,530,1,0,2021,2,0.0,2.0,0.2,2.2,0.2,2.2,0.2,2.2,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.333,0.667,1.4,0.8,1.5,0.833,1.5,0.833,0.666,0.6,0.667,0.667,7.0,11.0,14.0,-2.666,-2.6,-2.667,-2.667,-7.0,-11.0,-14.0
720807,2021-09-25,Valencia,532,Athletic Club,531,1,1,2021,1,2.0,2.0,2.0,1.4,1.833,1.167,1.833,1.167,0.0,0.6,0.666,0.666,3.0,7.0,10.0,1.0,0.667,1.0,0.6,0.833,0.5,0.833,0.5,0.333,0.4,0.333,0.333,4.0,8.0,9.0,-0.333,0.19999999999999996,0.333,0.333,-1.0,-1.0,1.0
720806,2021-09-25,Sevilla,536,Espanyol,540,2,0,2021,2,1.333,0.667,1.6,0.4,1.6,0.4,1.6,0.4,0.666,1.2,1.2,1.2,5.0,11.0,11.0,1.333,1.333,0.8,1.0,0.667,0.833,0.667,0.833,0.0,-0.2,-0.166,-0.166,4.0,5.0,6.0,0.666,1.4,1.3659999999999999,1.3659999999999999,1.0,6.0,5.0
720804,2021-09-25,Real Madrid,541,Villarreal,533,0,0,2021,1,4.333,1.333,3.4,1.4,3.5,1.333,3.5,1.333,3.0,2.0,2.167,2.167,9.0,13.0,16.0,2.0,1.0,1.2,0.6,1.2,0.6,1.2,0.6,1.0,0.6,0.6,0.6,5.0,7.0,7.0,2.0,1.4,1.5669999999999997,1.5669999999999997,4.0,6.0,9.0
